Sp1	Sp2	obs.C-score	exp.C-score	SES_Cscore	pval_less	pval_greater
OTU_1	OTU_139	0	0	NA	1	1
OTU_1	OTU_140	0	0	NA	1	1
OTU_1	OTU_141	0	0	NA	1	1
OTU_1	OTU_142	0	0	NA	1	1
OTU_1	OTU_143	0	0	NA	1	1
OTU_1	OTU_144	0	0	NA	1	1
OTU_1	OTU_145	0	0	NA	1	1
OTU_1	OTU_146	0	0	NA	1	1
OTU_1	OTU_147	0	0	NA	1	1
OTU_1	OTU_148	0	0	NA	1	1
OTU_1	OTU_149	0	0	NA	1	1
OTU_1	OTU_150	0	0	NA	1	1
OTU_1	OTU_151	0	0	NA	1	1
OTU_1	OTU_152	0	0	NA	1	1
OTU_1	OTU_153	0	0	NA	1	1
OTU_1	OTU_154	0	0	NA	1	1
OTU_1	OTU_155	0	0	NA	1	1
OTU_1	OTU_156	0	0	NA	1	1
OTU_1	OTU_157	0	0	NA	1	1
OTU_1	OTU_158	0	0	NA	1	1
OTU_1	OTU_159	0	0	NA	1	1
OTU_1	OTU_160	0	0	NA	1	1
OTU_1	OTU_161	0	0	NA	1	1
OTU_1	OTU_162	0	0	NA	1	1
OTU_1	OTU_163	0	0	NA	1	1
OTU_1	OTU_164	0	0	NA	1	1
OTU_1	OTU_165	0	0	NA	1	1
OTU_1	OTU_166	0	0	NA	1	1
OTU_1	OTU_167	0	0	NA	1	1
OTU_1	OTU_168	0	0	NA	1	1
OTU_1	OTU_169	0	0	NA	1	1
OTU_1	OTU_170	0	0	NA	1	1
OTU_1	OTU_171	0	0	NA	1	1
OTU_1	OTU_172	0	0	NA	1	1
OTU_1	OTU_173	0	0	NA	1	1
OTU_1	OTU_174	0	0	NA	1	1
OTU_1	OTU_175	0	0	NA	1	1
OTU_1	OTU_176	0	0	NA	1	1
OTU_1	OTU_177	0	0	NA	1	1
OTU_1	OTU_178	0	0	NA	1	1
OTU_1	OTU_179	0	0	NA	1	1
OTU_1	OTU_180	0	0	NA	1	1
OTU_1	OTU_181	0	0	NA	1	1
OTU_1	OTU_182	0	0	NA	1	1
OTU_1	OTU_183	0	0	NA	1	1
OTU_1	OTU_184	0	0	NA	1	1
OTU_1	OTU_185	0	0	NA	1	1
OTU_1	OTU_186	0	0	NA	1	1
OTU_1	OTU_187	0	0	NA	1	1
OTU_1	OTU_188	0	0	NA	1	1
OTU_1	OTU_189	0	0	NA	1	1
OTU_1	OTU_190	0	0	NA	1	1
OTU_1	OTU_191	0	0	NA	1	1
OTU_1	OTU_192	0	0	NA	1	1
OTU_1	OTU_193	0	0	NA	1	1
OTU_1	OTU_194	0	0	NA	1	1
OTU_1	OTU_195	0	0	NA	1	1
OTU_1	OTU_196	0	0	NA	1	1
OTU_1	OTU_197	0	0	NA	1	1
OTU_1	OTU_198	0	0	NA	1	1
OTU_1	OTU_199	0	0	NA	1	1
OTU_1	OTU_200	0	0	NA	1	1
OTU_1	OTU_201	0	0	NA	1	1
OTU_1	OTU_202	0	0	NA	1	1
OTU_1	OTU_203	0	0	NA	1	1
OTU_1	OTU_204	0	0	NA	1	1
OTU_1	OTU_205	0	0	NA	1	1
OTU_1	OTU_206	0	0	NA	1	1
OTU_1	OTU_207	0	0	NA	1	1
OTU_1	OTU_208	0	0	NA	1	1
OTU_1	OTU_209	0	0	NA	1	1
OTU_1	OTU_210	0	0	NA	1	1
OTU_1	OTU_211	0	0	NA	1	1
OTU_1	OTU_212	0	0	NA	1	1
OTU_1	OTU_213	0	0	NA	1	1
OTU_1	OTU_214	0	0	NA	1	1
OTU_1	OTU_215	0	0	NA	1	1
OTU_1	OTU_216	0	0	NA	1	1
OTU_1	OTU_217	0	0	NA	1	1
OTU_1	OTU_218	0	0	NA	1	1
OTU_1	OTU_219	0	0	NA	1	1
OTU_2	OTU_3	0	0	NA	1	1
OTU_2	OTU_4	0	0	NA	1	1
OTU_2	OTU_5	0	0	NA	1	1
OTU_2	OTU_6	0	0	NA	1	1
OTU_2	OTU_7	0	0	NA	1	1
OTU_2	OTU_8	0	0	NA	1	1
OTU_2	OTU_9	0	0	NA	1	1
OTU_2	OTU_10	0	0	NA	1	1
OTU_2	OTU_11	0	0	NA	1	1
OTU_2	OTU_12	0	0	NA	1	1
OTU_2	OTU_13	0	0	NA	1	1
OTU_2	OTU_14	0	0	NA	1	1
OTU_2	OTU_15	0	0	NA	1	1
OTU_2	OTU_16	0	0	NA	1	1
OTU_2	OTU_17	0	0	NA	1	1
OTU_2	OTU_18	0	0	NA	1	1
OTU_2	OTU_19	0	0	NA	1	1
OTU_2	OTU_20	0	0	NA	1	1
OTU_2	OTU_21	0	0	NA	1	1
OTU_2	OTU_22	0	0	NA	1	1
OTU_2	OTU_23	0	0	NA	1	1
OTU_2	OTU_24	0	0	NA	1	1
OTU_2	OTU_25	0	0	NA	1	1
OTU_2	OTU_26	0	0	NA	1	1
OTU_2	OTU_27	0	0	NA	1	1
OTU_2	OTU_28	0	0	NA	1	1
OTU_2	OTU_29	0	0	NA	1	1
OTU_2	OTU_30	0	0	NA	1	1
OTU_2	OTU_31	0	0	NA	1	1
OTU_2	OTU_32	0	0	NA	1	1
OTU_2	OTU_33	0	0	NA	1	1
OTU_2	OTU_34	0	0	NA	1	1
OTU_2	OTU_35	0	0	NA	1	1
OTU_2	OTU_36	0	0	NA	1	1
OTU_2	OTU_37	0	0	NA	1	1
OTU_2	OTU_38	0	0	NA	1	1
OTU_2	OTU_39	0	0	NA	1	1
OTU_2	OTU_40	0	0	NA	1	1
OTU_2	OTU_41	0	0	NA	1	1
OTU_2	OTU_42	0	0	NA	1	1
