sample,river,zone,site,habitat,Lat,Lon,oxygen,oxygen_sat,temperature,chloride,doc,ammonium,nitrate,phosphate,tp,tn,don,np,benthic_type,afdm,chl,chl_afdm,m,conductivity,time,dry_mass,perc_om
136,Clark fork,OC,UP,FC,46.6118,-113.0487,5.53,64.3,15.9,6.174,3.238,1.5,6.5,39,31.9,242.6,234.6,0.5,Epilithon,0.74,16.2,0.219,1236,389.4,0.36,3.49,21.2
137,Clark fork,OC,UP,PN,46.6062,-113.0434,10.02,131.7,21.5,6.191,7.485,7,1.5,53,52,754.2,745.7,0.4,FBOM,39.36,75.73,0.019,1238,286.3,0.49,250.5,15.7
138,Clark fork,MC,MD,SR,46.6242,-113.0844,6.61,78.8,16.9,6.487,2.513,1.5,1.5,29.7,25.3,224,221,0.2,Epilithon,22.144,38.28,0.017,1224,393.5,0.51,83.28,26.6
139,Clark fork,MC,MD,RN,46.6221,-113.0808,6.33,74.9,16.7,6.661,2.761,1.6,2.5,30,31.5,222.2,218.1,0.3,Epilithon,1.516,39.07,0.258,1226,331.3,0.46,12.11,12.5
140,Clark fork,MC,MD,PO,46.6226,-113.0856,6.26,74,17.1,6.039,2.622,1.5,1.5,27.7,29.2,281.9,278.9,0.2,,,,,1226,393.7,0.55,,
141,Clark fork,OC,MD,FC,46.6252,-113.0933,5.92,72.2,17.9,4.301,2.039,6.9,5.8,33,25.7,224.9,212.2,0.9,,,,,1221,389.6,0.64,,
142,Clark fork,MC,MD,SL,46.624,-113.0845,6.41,76,16.8,6.208,2.588,1.5,1.5,36,27.1,227.6,224.6,0.2,Epilithon,5.208,59.24,0.114,1226,393.1,0.49,22.6,23
144,Clark fork,OC,MD,BK,46.6228,-113.0897,5.67,68.5,17.6,6.065,2.546,20.9,4.2,46,29.6,265.6,240.5,1.2,FBOM,9.144,38.76,0.042,1226,397.6,0.58,118.76,7.7
146,Clark fork,OC,MD,PS,46.6227,-113.09,5.28,58.1,13.1,3.07,1.49,29.2,81.8,42,32.2,320.9,209.9,5.8,Epilithon,8.923,488.31,0.547,1227,458,0.59,28.84,30.9
148,Clark fork,OC,MD,OS,46.6217,-113.0795,6.36,72.3,14.8,7.173,1.88,5.6,1.5,31.7,219.9,936.8,929.7,0.5,FBOM,20.064,86.79,0.043,1225,405.1,0.43,140.89,14.2
150,Clark fork,OC,MD,PN,46.622,-113.0782,4.39,48.43,15.67,10.43,9.695,186.3,2.2,14.3,40.7,690.7,502.2,29.1,FBOM,27.448,767.87,0.28,1225,320.57,0.4,67.16,40.9
151,Clark fork,MC,DW,SR,46.6361,-113.1036,7.58,92.8,18.1,6.204,2.369,1.5,1.5,33.7,25.9,205.9,202.9,0.2,Epilithon,20.716,155.98,0.075,1217,394.1,0.53,59.07,35.1
152,Clark fork,MC,DW,RN,46.6372,-113.1071,7.77,98.6,19.8,6.348,2.403,5.4,2.5,31,20,207.6,199.7,0.6,Epilithon,22.181,896.57,0.404,1218,394,0.6,61.41,36.1
153,Clark fork,MC,DW,PO,46.636,-113.1038,7.52,93.4,18.7,5.856,2.302,1.5,1.5,36,27.1,266.7,263.7,0.2,,,,,1217,391.6,0.56,,
154,Clark fork,OC,DW,FC,46.6387,-113.1158,6.91,89.6,20.9,6.351,2.653,16.2,43.2,80.3,70.6,295.7,236.3,1.6,FBOM,25.853,104.22,0.04,1217,381.2,0.69,187.37,13.8
155,Clark fork,MC,DW,SL,46.6345,-113.1059,7.48,93.7,19.2,6.065,2.364,1.5,1.5,40,25.7,207,204,0.2,Epilithon,5.767,82.58,0.143,1217,389,0.58,22.91,25.2
157,Clark fork,OC,DW,BK,46.6371,-113.1092,7.61,98.8,21.1,6.027,2.322,1.6,1.5,40,28.8,268,264.9,0.2,FBOM,16.567,50.02,0.03,1221,391.8,0.64,175.09,9.5
159,Clark fork,MC,DW,CZ,46.6395,-113.1162,7.5,97.2,21,6.255,2.425,1.5,2.8,39.7,23.7,203.1,198.8,0.2,Epilithon,6.349,28.94,0.046,1215,410.5,0.7,62.93,10.1
161,Clark fork,OC,DW,OS,46.6369,-113.1089,7.4,98.1,22.4,5.552,1.977,55.3,1.5,30.7,17.1,149.5,92.7,4.1,Epilithon,3.373,24.96,0.074,1222,399.1,0.67,8.39,40.2
163,Clark fork,OC,DW,PN,46.6367,-113.1042,5,66.1,22.7,6.538,3.741,1.5,1.8,12,13,307.2,303.9,0.6,FBOM,9.35,692.89,0.741,1215,317.4,0.52,27.35,34.2
164,Big Hole,MC,UP,SR,45.5364,-113.4882,8.4,97.7,12.2,1.263,11.854,8.6,3.7,43.5,59,592.4,580.1,0.6,Epilithon,0.237,0.313,0.013,1875,61.5,0.49,0.37,63.5
165,Big Hole,MC,UP,RN,45.5383,-113.489,8.3,96.8,12.4,1.062,12.046,5.1,3.7,50.8,52.6,562.1,553.3,0.4,Epilithon,0.572,0.162,0.003,1876,61.4,0.51,1.33,43.2
166,Big Hole,OC,UP,FC,45.5297,-113.4891,4.2,46.7,9.9,2.501,6.287,26.7,2,26.2,93.9,364.5,335.8,2.4,Epilithon,1.009,0.103,0.001,1878,105.9,0.42,1.96,51.5
167,Big Hole,MC,UP,SL,45.533,-113.4862,8.3,94.5,11.7,0.77,11.294,3.5,2.7,34.8,59,568.3,562.2,0.4,Epilithon,0.555,0.16,0.003,1878,61.1,0.46,2.19,25.3
169,Big Hole,OC,UP,BK,45.5344,-113.4867,6.8,82.8,13.7,1.467,12.053,57.5,8,49.2,70.9,625.6,560.1,2.9,FBOM,6.844,8.43,0.012,1876,73.4,0.48,43.67,15.7
171,Big Hole,MC,UP,CZ,45.5399,-113.489,8.5,101.5,13.4,1.25,12.531,1.5,3.3,38.2,86.6,708.7,703.9,0.3,Epilithon,0.683,22.105,0.324,1877,64.3,0.54,1.87,36.6
173,Big Hole,OC,UP,PS,45.5431,-113.4882,4.3,53.4,14.7,0.884,9.937,1.5,534,51.5,69.5,478.3,25,23,Epilithon,1.158,1.638,0.014,1877,62.1,0.65,3.33,34.8
175,Big Hole,OC,UP,OS,45.5473,-113.4898,1.1,15.9,11.1,2.121,8.828,1.5,5,31.5,91.2,449,442.5,0.5,FBOM,6.272,0.059,0,1875,95.4,0.63,12.74,49.2
177,Big Hole,OC,UP,PN,45.5425,-113.4884,8.5,101.5,13.2,2.317,11.398,3.4,5.3,25.2,37.8,599.1,590.4,0.8,FBOM,4.352,6.169,0.014,1875,64,0.6,6.4,68
178,Big Hole,MC,MD,SR,45.5641,-113.4896,8.6,98.4,11.4,0.884,12.498,1.8,4.3,43.5,59.7,593.9,587.8,0.3,Epilithon,0.516,10.752,0.208,1866,61.4,0.54,1.3,39.6
179,Big Hole,MC,MD,RN,45.5651,-113.4879,8.3,93.1,11,2.036,12.279,4.5,7,47.5,61.6,641,629.5,0.5,Epilithon,0.594,0.58,0.01,1867,61.6,0.42,1.46,40.6
180,Big Hole,OC,MD,FC,45.5589,-113.4891,9.1,106.4,12.4,0.341,8.413,3.5,4.3,38.8,47.2,442.1,434.3,0.4,Epilithon,0.149,0.117,0.008,1868,62,0.48,0.66,22.7
181,Big Hole,OC,MD,BK,45.5643,-113.4899,8.1,95.1,12.9,1.067,12.069,3.3,4,54.2,58.7,575.8,568.5,0.3,FBOM,15.52,9.282,0.006,1864,64.9,0.44,109.22,14.2
183,Big Hole,MC,MD,CZ,45.5606,-113.4905,8.3,101.8,14.9,1.243,12.302,2.4,5.3,51.2,62.3,633.4,625.7,0.3,Epilithon,0.262,13.493,0.515,1867,62,0.65,0.46,56.8
185,Big Hole,OC,MD,OS,45.5592,-113.488,6,73.5,14.7,1.137,12.701,1.5,2,42.8,94.5,682.9,679.4,0.2,FBOM,7.674,0.087,0,1868,69.1,0.51,31,24.8
187,Big Hole,OC,MD,PN,45.5553,-113.4889,6.3,80.4,16.5,2.015,11.88,4.3,6,46.8,59.1,585.4,575.1,0.5,FBOM,1.854,0.907,0.005,1871,66.3,0.6,4.66,39.8
188,Big Hole,MC,DW,SR,45.6081,-113.4614,8,94.3,12.8,1.489,12.516,2.9,4.7,42.8,65.1,629.6,622,0.4,Epilithon,1.103,117.707,1.067,1845,68.2,0.44,3.77,29.2
189,Big Hole,MC,DW,RN,45.6111,-113.4608,8.1,92.8,12,1.907,20.294,9.1,6,50.2,64.8,658.9,643.8,0.7,Epilithon,0.838,1.156,0.014,1843,68,0.38,2.03,41.4
190,Big Hole,MC,DW,PO,45.6085,-113.461,8.1,96.3,13.2,1.082,12.316,1.5,2.7,42.8,63,604.7,600.5,0.2,,,,,1848,68.6,0.47,,
191,Big Hole,OC,DW,FC,45.6086,-113.4604,7.5,87.1,12.1,1.587,14.211,3.1,3.3,52.8,57.6,764,757.6,0.3,Epilithon,0.646,0.217,0.003,1848,84.7,0.46,1.13,57.2
192,Big Hole,OC,DW,BK,45.6114,-113.461,2.2,25.1,12,1.256,10.251,3.9,6.3,41.5,61.7,502.6,492.4,0.5,FBOM,7.05,23.724,0.034,1842,74.2,0.4,32.79,21.5
194,Big Hole,MC,DW,CZ,45.6098,-113.4618,8,92.3,12.1,1.152,12.441,2,3.3,50.8,69.5,624.9,619.5,0.2,Epilithon,0.449,0.316,0.007,1844,68.1,0.5,1.28,35.1
196,Big Hole,OC,DW,PS,45.6001,-113.4672,2.6,28.9,9.6,1.71,7.522,1.5,3.3,22.2,128.7,400.3,395.5,0.5,FBOM,7.057,0.42,0.001,1846,93,0.56,31.36,22.5
198,Big Hole,OC,DW,PN,45.6072,-113.4615,2.9,33.3,11.6,5.632,24.104,3.9,770,34.5,129.2,1309.3,535.4,49.6,FBOM,24.214,18.032,0.007,1849,117.9,0.52,83.54,29
199,Big Horn,MC,UP,SR,45.643,-107.656,9.36,98.2,13,7.051,3.306,22.7,341,5.3,20.4,555.2,191.5,150.8,Epilithon,0.35,9.164,0.262,903,541,0.4,0.94,37.1
200,Big Horn,MC,UP,RN,45.6442,-107.6595,11.36,127.4,16.3,4.696,3.031,26.7,279,3.7,,,,184.4,Epilithon,0.87,25.2,0.291,899,525,0.63,3.62,23.9
201,Big Horn,MC,UP,PO,45.6615,-107.6202,9.28,99.9,13.8,4.871,3.019,1.5,253.3,4,15.7,557.8,303,140.9,SPOM,0.02,,,892,543,0.46,0.05,44
202,Big Horn,OC,UP,FC,45.6767,-107.6052,8.79,101.2,17.2,6.306,3.502,1.5,274.3,4.3,13.8,905.7,629.9,140.8,FBOM,3.12,77.003,0.247,889,556,0.52,26.37,11.8
203,Big Horn,OC,UP,BK,45.6439,-107.6597,9.86,114.15,17.6,5.838,3.204,1.5,239,2.7,8.3,475.5,235,199.5,FBOM,9.27,35.788,0.039,903,559,0.67,122.45,7.6
205,Big Horn,MC,UP,CZ,45.6437,-107.6592,11.31,129,16.7,2.963,3.36,1.5,128,2.3,8.1,467.3,337.8,122.8,FBOM,0.46,2.136,0.047,903,531,0.65,4.12,11.1
207,Big Horn,OC,UP,BK,45.6643,-107.6144,2.6,31.6,19.9,5.904,6.612,307.7,140.5,26,,,,38.1,FBOM,10.27,3425.246,3.335,891,619,0.48,128.14,8
209,Big Horn,MC,MD,SR,45.7169,-107.5808,11.04,124.3,16.1,7.157,3.399,29.1,335.3,5.3,7.8,297.2,25,151.2,Epilithon,0.26,2.283,0.089,905,555,0.69,0.85,30.3
210,Big Horn,MC,MD,RN,45.6765,-107.6043,10.66,116.6,14.7,7.18,2.892,1.5,283.7,3.3,12.1,571.6,286.4,189.2,Epilithon,2.69,19.409,0.072,889,544,0.54,8.38,32.1
211,Big Horn,MC,MD,PO,45.6868,-107.5982,10.54,115.5,14.8,7.144,2.874,1.5,307,4,11,519.3,210.8,170.6,SPOM,0.02,,,890,549,0.56,0.05,33.8
212,Big Horn,MC,MD,SL,45.693,-107.5908,11.54,130.1,16.1,5.323,3.302,13.4,220.7,5.7,22.8,668.3,434.3,91.4,Epilithon,1.51,4.859,0.032,909,546,0.63,16.84,9
214,Big Horn,OC,MD,BK,45.6929,-107.5906,9.6,108.5,16.2,7.046,3.276,1.5,292,4,,,,162.3,FBOM,1.74,4.101,0.024,891,540,0.58,13.77,12.6
216,Big Horn,OC,MD,PN,45.7562,-107.5653,8.34,119.7,28.6,23.736,8.993,1.5,8.7,5,25.9,632.1,621.9,4.5,FBOM,2.69,4.369,0.016,881,1196,0.64,15.39,17.5
217,Big Horn,MC,DW,RN,45.863,-107.5745,8.38,95.4,16.7,3.143,3.766,7.7,151.3,3,,,,117.3,Epilithon,0.4,9.487,0.236,858,526,0.41,3.5,11.5
218,Big Horn,MC,DW,PO,45.8455,-107.5826,8.1,91.4,16.4,8,2.829,4.4,317.5,4,8.9,397.8,75.9,178,SPOM,0.02,,,868,534,0.35,0.07,26.1
219,Big Horn,OC,DW,FC,45.8544,-107.5834,8.22,93.2,16.6,6.736,2.199,2.5,270.7,3.3,,,,181.3,FBOM,4.04,6.89,0.017,863,532,0.36,48.92,8.3
220,Big Horn,MC,DW,SL,45.8861,-107.5715,8.29,96.5,17.6,6.793,3.704,13.8,232,3.3,8.4,275.7,29.9,163.1,FBOM,3.45,32.02,0.093,860,547,0.46,74.82,4.6
222,Big Horn,OC,DW,BK,45.8862,-107.5709,7.89,93,18.1,6.396,3.448,11.3,237,4,13.5,555.8,307.5,137.3,FBOM,4.32,13.745,0.032,861,548,0.47,39.31,11
224,Big Horn,MC,DW,CZ,45.8559,-107.5768,8.07,91.6,16.5,5.157,3.427,1.7,193.3,3,6.8,275.2,80.2,143.8,FBOM,4.72,3.717,0.008,858,442.8,0.38,55.43,8.5
226,Big Horn,OC,DW,BK,45.8652,-107.5738,7.92,99.9,21.6,38.276,4.461,10.6,210,9,80.4,922.8,702.2,54.2,FBOM,2.9,3.054,0.011,858,1585,0.42,27.81,10.4
228,Big Horn,OC,DW,OS,45.9236,-107.5785,7.66,92.9,19.6,5.618,5.237,1.8,208.3,31,,,,15,FBOM,7.79,14.418,0.019,859,862,0.55,72.69,10.7
230,Tongue,MC,UP,SR,46.3355,-105.7856,7.55,102.2,25.9,2.084,4.375,3.1,3,12.3,3,85.2,79.1,1.1,Epilithon,0.29,0.2,0.008,727,457,0.55,1.3,22.2
231,Tongue,MC,UP,RN,46.3293,-105.7887,7.63,99.5,24.1,3.997,4.498,1.4,3,11.7,21.7,221.3,216.9,0.8,FBOM,4.09,1.1,0.003,732,449.8,0.44,53.47,7.7
232,Tongue,MC,UP,PO,46.3335,-105.7844,7.34,98.3,25.5,2.33,4.405,1.1,0.7,7.3,,,,0.5,,,,,727,452.3,0.54,,
233,Tongue,OC,UP,FC,46.3307,-105.7898,7.24,94,23.9,2.31,4.324,1.4,3.8,7,45.7,578.1,572.9,1.7,FBOM,5.25,4,0.008,733,448.5,0.42,71.13,7.4
234,Tongue,MC,UP,SL,46.3369,-105.7868,7.03,97.9,27.4,2.498,4.447,1.4,6.8,9,,,,2,Epilithon,0.11,0.5,0.045,727,464,0.58,0.95,11.7
236,Tongue,MC,UP,RN,46.3402,-105.7934,8.13,112.2,26.9,2.465,4.499,8.4,3.7,10,,,,2.7,SPOM,0.02,0.1,385.6,730,452.9,0.63,0.11,14.5
237,Tongue,MC,UP,CZ,46.3296,-105.7875,7.35,96.1,24.5,2.517,4.059,16,4.3,8.7,,,,5.2,SPOM,0.01,0.1,532.8,731,445,0.46,0.1,14.5
239,Tongue,OC,UP,RN,46.3304,-105.7849,7.57,100.7,24.9,2.562,4.17,1.4,4,8.5,7.7,201.1,195.7,1.4,SPOM,0.02,0.6,3484.7,728,450.9,0.5,0.11,15
240,Tongue,OC,UP,OS,46.3369,-105.7866,2.37,32.9,27.2,8.883,7.255,1.4,54.3,28,6.7,297.8,242.1,4.4,FBOM,2.26,3,0.013,727,160.6,0.57,26.34,8.6
242,Tongue,MC,UP,RN,46.3382,-105.7969,7.96,109.7,26.9,3.096,3.928,30.7,4,7.7,13.6,253.5,218.8,10,SPOM,0.02,0.1,466.8,732,456,0.64,0.13,16.1
243,Tongue,MC,MD,SR,46.354,-105.8246,7.54,96.7,23.7,2.482,4.326,44.5,3.7,7.5,8.6,154.6,106.4,14.2,Epilithon,0.1,0.3,0.03,726,489,0.35,1.08,9.6
244,Tongue,MC,MD,RN,46.3559,-105.8276,7.28,93.5,23.8,2.565,4.493,39.8,4.3,10.3,,,,9.4,Epilithon,0.23,0.1,0.003,729,468,0.33,1.29,17.5
245,Tongue,MC,MD,PO,46.3536,-105.8108,7.57,97.7,24,2.391,4.101,10,1.7,8,,,,3.2,,,,,724,467,0.43,,
246,Tongue,OC,MD,PN,46.3535,-105.8092,4.52,58.8,24.2,8.773,9.749,6.2,4,13.2,,,,1.7,FBOM,12.98,9.4,0.007,729,2067,0.41,88.35,14.7
247,Tongue,MC,MD,SL,46.3532,-105.813,6.91,90.9,25,2.35,4.188,1.4,4,7.5,11.8,191.5,186.1,1.6,Epilithon,0.04,1.7,0.405,726,467,0.44,0.36,11.3
249,Tongue,OC,MD,BK,46.3515,-105.8147,7.51,98.7,24.9,2.748,3.924,5.1,5.3,8,7.5,196.4,185.9,2.9,FBOM,9.59,6.8,0.007,726,466,0.48,122.62,7.8
251,Tongue,MC,MD,RN,46.3476,-105.8085,7.86,104.6,25.5,2.948,4.726,12.5,4.3,9,,,,4.1,SPOM,0.01,0.1,590.2,726,458,0.51,0.09,15.9
252,Tongue,MC,MD,RN,46.3436,-105.8019,8.12,108.2,25.7,2.29,3.994,13.5,1.7,9.5,,,,3.5,SPOM,0.01,0.1,598.5,726,461,0.55,0.08,17.4
253,Tongue,OC,MD,PN,46.3574,-105.8188,6.23,78.8,23,3.728,5.768,88.9,10,9.5,,,,23,FBOM,6.88,6.5,0.009,725,541,0.38,103.27,6.7
254,Tongue,MC,DW,SR,46.3766,-105.8362,7.92,108.2,27.1,2.148,4.019,2.4,4.3,8.2,,,,1.8,Epilithon,0.08,0.3,0.038,718,471,0.69,0.3,25.5
255,Tongue,MC,DW,RN,46.3745,-105.8418,7.94,108.4,26.9,2.823,4.335,54,5,8.5,,,,15.4,SPOM,0.01,0,162.5,720,470,0.66,0.09,16.8
256,Tongue,MC,DW,PO,46.3731,-105.8457,7.87,106.6,26.5,3.148,4.169,5.4,4.3,9.8,,,,2.2,,,,,724,470,0.63,,
257,Tongue,MC,DW,SL,46.373,-105.8441,7.31,105.4,30.1,3.239,4.261,1.4,4.7,7,,,,1.9,Epilithon,0.35,0.4,0.011,725,448.6,0.64,4.25,8.3
259,Tongue,OC,DW,BK,46.3735,-105.8457,5.16,63.4,21.7,2.458,4.391,4.9,1.7,7.5,,,,1.9,FBOM,1.51,3,0.02,724,504,0.35,17.31,8.7
261,Tongue,MC,DW,RN,46.3767,-105.8466,7.53,96.1,23.7,2.094,4.283,1.4,4.7,7.5,6.4,191.3,185.2,1.8,SPOM,0.01,0,102,720,483,0.39,0.08,16.2
262,Tongue,MC,DW,RN,46.3758,-105.8485,7.59,97.2,23.8,1.959,4.177,1.4,3.7,6.8,,,,1.6,SPOM,0.01,0,297.2,720,482,0.4,0.08,15.8
263,Tongue,OC,DW,PN,46.3754,-105.8474,4.05,50.1,22,5.907,11.373,1.4,1.3,12.8,28,575.5,572.8,0.5,FBOM,5.53,20.6,0.037,720,930,0.38,71.9,7.7
264,Missouri,MC,UP,SR,48.0682,-105.5322,9.48,106.5,17.9,9.84,2.757,7.7,3.3,11.7,7.9,197,186,2.1,Epilithon,0.54,2.4,0.044,601,742,0.42,2.51,21.5
265,Missouri,MC,UP,RN,48.0945,-105.5055,10.1,112.9,17.7,8.947,2.91,14,1.2,11,9.7,161.9,146.7,3.1,SPOM,0.01,0,113.5,600,744,0.5,0.04,24
266,Missouri,MC,UP,PO,48.0716,-105.5255,9.96,110.1,17.2,9.486,2.803,4.9,1.2,10.3,12.6,194.8,188.7,1.3,,,,,600,744,0.44,,
267,Missouri,MC,UP,RN,48.0895,-105.4509,10.23,116,18.3,9.443,2.208,1.4,1.2,10.7,13.5,361.1,358.5,0.5,SPOM,0.01,0,42.3,599,745,0.6,0.04,20.5
268,Missouri,MC,UP,SL,48.093,-105.4968,9.83,111.3,18.2,9.574,3.646,8.8,2,10.7,5.7,114.1,103.3,2.2,FBOM,1.14,2.4,0.021,602,745,0.5,13.8,8.2
270,Missouri,OC,UP,BK,48.0757,-105.5246,10.1,116.2,19.2,9.44,3.845,3.8,2.2,12.3,12.9,147.4,141.4,1.1,FBOM,18.34,25.4,0.014,601,750,0.45,289.63,6.3
272,Missouri,MC,UP,CZ,48.0924,-105.4893,9.72,110.5,18.3,10.032,3.854,10.7,2.3,14,20.9,2043,2030,2.1,FBOM,1.54,2.9,0.019,600,743,0.56,41.36,3.7
274,Missouri,OC,UP,OS,48.0932,-105.49,9.13,120.4,26.1,10.074,3.281,7.9,3.3,13.3,6,152.6,141.4,1.9,FBOM,12.35,28.2,0.023,602,838,0.53,346.45,3.6
276,Missouri,OC,UP,PN,48.0942,-105.4917,12.26,160.7,25.7,21.404,4.648,43.5,7.2,8.3,12.6,478.2,427.5,13.5,FBOM,17.11,27.5,0.016,601,763,0.55,260.28,6.6
277,Missouri,MC,MD,RN,48.0922,-105.4067,9.86,106.9,16.7,10.441,2.969,7.8,4.2,12,11.2,320.6,308.6,2.2,SPOM,0.05,0,13.4,597,741,0.41,0.72,6.5
278,Missouri,MC,MD,PO,48.0914,-105.4366,9.84,112.1,18.4,8.869,3.666,1.4,1.8,8.7,7.9,210.1,206.9,0.8,,,,,601,744,0.61,,
279,Missouri,MC,MD,SL,48.0934,-105.4278,9.53,114.5,21.1,9.864,4.083,17.9,3.3,9.7,7.7,217.9,196.7,4.9,FBOM,12.02,7.1,0.006,600,722,0.64,198.46,6.1
281,Missouri,OC,MD,BK,48.0935,-105.4269,8.75,117.8,27.2,10.638,4.678,9.2,3.3,10,37.3,189.1,176.6,2.8,FBOM,2.69,34.8,0.129,600,773,0.64,42.41,6.3
283,Missouri,MC,MD,RN,48.0893,-105.3772,15.12,186.4,22.8,53.473,13.769,27.7,19.4,47.5,63,622,574.9,2.2,FBOM,18.36,60.1,0.033,595,2084,0.46,340.36,5.4
284,Missouri,OC,MD,OS,48.0882,-105.3748,14.28,192.4,27.5,60.118,7.146,7,13.3,39.7,69.6,911.9,891.5,1.1,FBOM,0.95,21.5,0.225,595,1992,0.47,4.93,19.3
286,Missouri,OC,MD,PN,48.0931,-105.4279,10.69,136.9,24.3,23.22,20.628,5.8,5,12,16.2,622.4,611.6,2,FBOM,3.52,42.9,0.122,599,1513,0.63,27.98,12.6
287,Missouri,MC,DW,RN,48.0874,-105.2648,9.49,107.8,18.7,7.937,2.089,12.9,1.2,9.3,13.3,330,315.9,3.4,SPOM,0.02,0,21.6,596,747,0.68,0.19,11
288,Missouri,MC,DW,RN,48.0797,-105.3171,9.69,107.5,17.7,9.515,2.438,9.6,1.3,8.3,7.6,281.7,270.8,2.9,SPOM,0.01,0,58,596,747,0.55,0.03,22.8
289,Missouri,MC,DW,PO,48.0925,-105.33,9.46,105.3,17.6,9.924,2.56,14.6,4.2,9.3,6.2,282.4,263.6,4.5,,,,,595,746,0.52,,
290,Missouri,OC,DW,FC,48.0853,-105.2704,7.57,96.4,24.6,10.109,3.783,33.3,5.1,9,7.7,249.5,211.1,9.4,FBOM,11.39,14,0.012,594,777,0.65,157.81,7.2
291,Missouri,MC,DW,SL,48.0801,-105.3094,9.53,109.2,19.2,9.333,2.519,0.8,2,9,9.2,190.5,187.7,0.7,FBOM,2.53,1.8,0.007,595,749,0.56,42.5,6
293,Missouri,OC,DW,BK,48.0798,-105.2992,11.95,162.5,28.3,9.023,2.546,8.3,1,12.7,12.6,273.2,263.9,1.6,FBOM,1.65,11.2,0.068,594,665,0.59,21.77,7.6
295,Missouri,MC,DW,CZ,48.0854,-105.2699,9.28,107.7,19.7,10.323,3.415,1.4,4,9.3,7,220.6,215.2,1.3,FBOM,4.98,14.3,0.029,595,751,0.66,92.6,5.4
297,Missouri,OC,DW,OS,48.098,-105.2528,11.11,143.8,25.1,29.402,5.057,40.1,4.2,23.7,8,315.1,270.8,4.1,FBOM,4.58,14.3,0.031,602,1718,0.73,52.28,8.8
299,Missouri,OC,DW,PN,48.0941,-105.2465,13.35,185.2,29.1,27.53,8.211,14.7,3.3,21.3,17,569.4,551.3,1.9,FBOM,2.41,9.6,0.04,602,1714,0.72,19.45,12.4
300,Milk,MC,UP,SR,48.3632,-106.9272,8.11,106.5,24.6,11.574,6.622,9.2,4,12.7,,,,2.3,SPOM,0.02,,,649,828,0.58,0.06,32.7
301,Milk,MC,UP,RN,48.3761,-106.9519,7.68,100.6,24.6,12.245,5.091,9.2,4.3,13.3,10.8,176,162.5,2.2,SPOM,0.02,,,645,816,0.5,0.01,31.6
302,Milk,MC,UP,PO,48.3731,-106.9741,7.65,98.1,23.9,10.343,6.666,3.8,4.7,10,19.3,445.6,437.2,1.9,,,,,668,814,0.43,,
303,Milk,OC,UP,OS,48.3796,-106.9665,6.12,75,21.1,4.933,13.665,7.7,3.5,139.7,202.4,949.6,938.4,0.2,FBOM,3.32,19.94,0.06,648,1090,0.46,9.05,36.7
304,Milk,MC,UP,SL,48.3759,-106.9339,7.36,100.8,26.8,11.82,6.465,1.4,7,13.3,11.9,217.2,208.8,1.4,FBOM,1.45,0.01,0,642,854,0.53,22.26,6.5
305,Milk,OC,UP,BK,48.3785,-106.9583,7.41,98.1,25.3,11.871,6.367,10.6,1.7,14.3,23.6,421.2,408.9,1.9,FBOM,4.93,0.01,0,640,834,0.48,80.81,6.1
306,Milk,MC,UP,RN,48.373,-106.9235,7.85,101.5,24.5,12.359,8.391,27.7,10.3,20,,,,4.2,SPOM,0.03,,,639,830,0.56,0.64,5.4
307,Milk,OC,UP,PS,48.3758,-106.9666,8.14,98.3,20.6,17.054,3.269,364.3,6,21.7,41.9,552.3,182,37.8,FBOM,4.19,0.01,0,637,938,0.44,60.61,6.9
308,Milk,MC,MD,RN,48.3529,-106.8907,7.09,88.8,23,6.998,6.841,6.9,1.7,12.3,14.6,201.3,192.8,1.5,SPOM,0.02,,,637,769,0.48,0.04,59.4
309,Milk,MC,MD,RN,48.36,-106.9052,7.36,91.5,22.6,10.082,6.471,14.5,1.7,12.7,14.2,232.3,216.1,2.8,SPOM,0.18,,,637,768,0.4,2.91,6.3
310,Milk,MC,MD,PO,48.3575,-106.9022,7.11,88.4,22.6,11.228,6.279,4.1,3.3,14,20.5,386.1,378.6,1.2,,,,,639,768,0.41,,
311,Milk,MC,MD,SL,48.348,-106.8908,7.53,97.9,24.7,10.902,6.28,4,2.5,13,15.6,266.2,259.7,1.1,FBOM,8.96,0.01,0,640,780,0.5,159.19,5.6
312,Milk,OC,MD,BK,48.3622,-106.8897,7.33,92.4,23.1,11.152,6.465,1.2,6,13.7,30.2,385.9,378.7,1.2,FBOM,3.12,1.63,0.005,635,802,0.44,41.6,7.5
313,Milk,OC,MD,PS,48.3622,-106.8897,5.47,61.7,17.2,30.039,6.766,209.9,5.7,29.7,19.4,281.8,66.2,16.1,,,,,635,1885,0.44,,
314,Milk,MC,MD,RN,48.3461,-106.8868,7.34,93.8,23.3,6.324,6.29,3.9,2.7,12.3,17.2,368.8,362.2,1.2,,,,,640,770,0.51,,
315,Milk,MC,MD,RN,48.3623,-106.8915,7.24,90.1,22.7,7.754,6.383,7.8,1.3,12.7,11.4,190.6,181.4,1.6,SPOM,0.05,,,635,769,0.42,0.74,7.3
316,Milk,MC,MD,RN,48.3606,-106.8853,7.75,97.8,23.1,11.006,6.2,5.7,0,11.7,13.2,204.1,198.4,1.1,SPOM,0.02,,,635,770,0.47,0.08,29.5
317,Milk,MC,DW,RN,48.3477,-106.8516,7.66,98.4,23.7,11.078,6.04,39.7,1.5,12.7,30.9,432.6,391.4,7.2,SPOM,0.03,,,639,767,0.59,0.12,23.3
